ASIN	ASIN Description	GL CODE	Produce Group Label	Category Code	Category Label	Subcategory Code	Subcategory Label	Brand Name	Item Name
B000633RJW	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina	Purina Dry Chewy Kitten Cat Food, 18 oz
B000GWQHCW	199>19900100>19900105	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900105	0105 Dog Treats	Purina	Purina Busy Rollhide Beef, Small/Medium 4 Ounce, 3 ct (Pack of 1)
B000RPXK5U	325>32500800>32500880	325	Grocery	32500800	0800 Grocery	32500880	0880 Pet Other	Purina	Purina Puppy Chow Dry Dog Food 8lb
B000VC9WYC	199>19900100>19900101	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900101	0101 Dog Dry Food	Purina	Purina Puppy Chow Dry Dog Food, Complete, Chicken Flavor, 4.4 Lb Bag
B000VCC00K	199>19900100>19900101	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900101	0101 Dog Dry Food	Purina	Purina Beneful Dry Dog Food, Original With Real Beef, 3.5 Lb Bag
B000VCFGJW	325>32500800>32500880	325	Grocery	32500800	0800 Grocery	32500880	0880 Pet Other	Purina	Purina Dog Chow, 4.4 lb
B000VD9YX0	199>19900100>19900103	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900103	0103 Dog Dehydrated & Freeze-Dried Food	Purina	Purina Whisker Lickin Chichen & Seafood Cat Food, 6.5 Oz
B000VLYSG0	325>32500800>32500884	325	Grocery	32500800	0800 Grocery	32500884	0884 Pet - Moist Dog Food & Treats	Purina	Purina Small Chew Eez Roll Dog Treat, 3 ct
B000WFKMRY	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina	Purina Kitten Chow Dry Kitten Food, Nurture - 14 lb. Bag
B0012KCUV4	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina	Whisker Lickin'S Soft And Delicious Chicken Flavor Cat Treats, 2.5-Ounce (10-Pack)
B0013RU9WS	199>19900200>19900102	199	Pet Products	19900200	0200 Habitats & Supplies	19900102	0102 Dog Wet Food	Purina	American Distribution Alpo 13.2 Oz Beef Food
B001P4ITIU	199>19900100>19900105	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900105	0105 Dog Treats	Purina	Purina Veterinary Diets Dental Chewz (5 oz)
B002869DSO	199>19900100>19900101	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900101	0101 Dog Dry Food	Purina	Purina Dog Chow Dry Dog Food, Complete and Balanced, 4.4 Lb Bag
B002ZFTFY0	199>19900100>19900101	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900101	0101 Dog Dry Food	Purina	Purina Beneful Playful Life Adult Formula Dry Dog Food Size: 15.5-lb bag
B003YFQ4PS	199>19900100>19900105	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900105	0105 Dog Treats	Purina	Purina Moist And Meaty Steak Food, Pack Of 12 Pouches
B0040B9GZK	199>19900108>19900112	199	Pet Products	19900108	--	19900112	0112 Cat Prescription Food	Purina	Purina Veterinary Diets EN Gastroenteric Feline Formula Canned Cat Food 24 5.5 oz
B004696BT0	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina	Purina Fancy Feast Roasted Turkey Food, 24 By 3 Oz.
B004IN6GNU	199>19900100>19900105	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900105	0105 Dog Treats	Purina	Purina Busy Chewnola Dog Treats, Small/Medium, 2 Treats
B004YT70N8	199>19900100>19900102	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900102	0102 Dog Wet Food	Purina	Purina Moist And Meaty Burger For Pets With Cheddar Cheese Flavor, 54 Count
B005D11EHY	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina	Purina Fancy Feast Gravy Lovers Beef Feast Food, 24 By 3 Oz.
B005IG7YS2	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina	Purina Fancy Feast Classic Tender Beef and Chicken Feast Cat Food, 3 Oz.
B005IG830U	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina	Purina Cat Chow Complete Formula Dry Cat Food 18oz
B005RZL31S	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina	Friskies Tasty Treasures Variety Pack Canned Cat Food, 12 cans, 5.5 oz per can, Total Net Wt 4.12lb
B0066OLC8S	199>19900100>19900112	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900112	0112 Cat Prescription Food	Purina	Purina Veterinary Diets DM Dietetic Management Feline Formula Dry Cat Food 6 Lb bag
